question,options,answer,subject,topic tag,year
"Consider the following Pairs :

 Medieval Indian Present Region

 State

 1. Champaka : Central India

 2. Durgara : Jammu

 3. Kuluta : Malabar

 Which of the above pairs is/ are correctly matched?","A. 1 and 2
B. 2 only
C. 1 and 3
D. 3 only",B,History,"History -> Medieval Indian Historical Geography & Regional States (Champaka, Durgara, Kuluta)",2015
"Consider the following rivers:

 1. Vamsadhara

 2. Indravati

 3. Pranahita

 4. Pennar

 Which of the above are tributaries of Godavari?","A. 1, 2 and 3
B. 2, 3 and 4
C. 1, 2 and 4
D. 2 and 3 only",D,Geography,Geography -> Peninsular Drainage Systems & Tributaries of River Godavari,2015
"When a bill is referred to a joint sitting of both the Houses of the Parliament, it has to be passed by","A. a simple majority of members present and voting
B. three-fourths majority of members present and voting
C. two-thirds majority of the Houses
D. absolute majority of the Houses",A,Indian Polity,Indian Polity -> Parliamentary Procedure & Joint Sitting Voting Thresholds (Article 108),2015
"Which one of the following regions of Indian has a combination of mangrove forest, evergreen forest and deciduous forest?","A. North Coastal Andhra Pradesh
B. South-West Bengal
C. Southern Saurashtra
D. Andaman and Nicober Islands",D,Geography,Geography -> Biogeography of India & Forest Ecosystems of Andaman and Nicobar Islands,2015
"Which of the following kingdoms were associated with the life of the Buddha?

 1. Avanti

 2. Gandhara

 3. Kosala

 4. Magadha

 Select the correct answer using the code given below:","A. 1, 2 and 3
B. 2 and 3 only
C. 1, 3 and 4
D. 3 and 4 only",D,Art & Culture,Art & Culture -> Buddhism History & Ancient Mahajanapadas associated with Buddha,2015
Which one the following is associated with the issue of control and phasing out of the use of ozone-depleting substances?,"A. Bretton Woods Conference
B. Montreal Protocol
C. Kyoto Protocol
D. Nagoya Protocol",B,Environment & Ecology,Environment & Ecology -> Atmospheric Ozone Protection & Montreal Protocol,2015
"Consider the following:

 The arrival of Babur into Indian led to the

 1. introduction of gunpowder in the subcontinent

 2. introduction of the arch and dome in the region's architecture

 3. establishment of Timurid dynasty in the region

 Select the correct answer using the code give below:","A. 1 and 2 only
B. 3 only
C. 1 and 3 only
D. 1, 2 and 3",B,History,History -> Medieval Indian History & Impact of Babur's Advent (Timurid Dynasty),2015
The Government of India has established NITI Aayog to replace the,"A. Human Rights Commission
B. Finance Commission
C. Law Commission
D. Planning Commission",D,Indian Polity,Indian Polity -> Policy Think Tanks & Establishment of NITI Aayog,2015
"What is Rio+20 Conference, often mentioned in the news?","A. It is the United Nations Conference on Sustainable Development
B. It is a Ministerial Meeting of the World Trade Organization
C. It is a Conference of the Inter-governmental Panel on Climate Change
D. It is a Conference of the Member Countries of the Convention on Biological Diversity",A,Environment & Ecology,Environment & Ecology -> Global Sustainable Development & UN Rio+20 Summit,2015
"Consider the following statements:

 1. The Executive Power of the Union of India is vested in the Prime Minister.

 2. The Prime Minister is the ex officio Chairman of the Civil Services Board.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",D,Indian Polity,Indian Polity -> Union Executive Powers & Role of Prime Minister / Civil Services Board,2015
The term 'Goldilocks Zone' is often seen in the news in the context of,"A. the limits of habitable zone above the surface of the Earth
B. region inside the Earth where shale gas is available
C. search for the Earth-like planets in outer space
D. search for meteorites containing precious metals",C,Science & Technology,Science & Technology -> Exoplanet Exploration & Habitable 'Goldilocks Zone',2015
Who of the following organized a March on the Tanjore coast to break the Salt Law in April 1930?,"A. V. O. Chidambaram Pillai
B. C. Rajagopalachari
C. K. Kamaraj
D. Annie Besant",B,History,History -> Civil Disobedience Movement & Vedaranyam Salt March (C. Rajagopalachari),2015
Who of the following founded a new city on the south bank of a tributary to river Krishna and undertook to rule his new kingdom as the agent of a deity to whom all the land south of the river Krishna was supposed to belong?,"A. Amoghavarsha I
B. Ballala II
C. Harihara I
D. Prataparudra II",C,History,History -> Vijayanagara Empire Origins & Foundation by Harihara I (Tungabhadra Basin),2015
"Consider the following statements:

 1. The first woman President of the Indian National Congress was Sarojini Naidu.

 2. The first Muslim President of the Indian National Congress was Badruddin Tyabji.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,History,"History -> Indian National Congress Leadership & Historical Presidents (Sarojini Naidu, Tyabji)",2015
"Which of the statements regarding 'Green Climate Fund' is/are correct?

 1. It is intended to assist the developing countries in adaption and mitigation practices to counter climate change.

 2. It is founded under the aegis of UNEP, OECD, Asian Development Bank and World Bank.

 Select the correct answer using the code given below:","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",A,Environment & Ecology,Environment & Ecology -> Climate Finance & UNFCCC Green Climate Fund (GCF),2015
"Indira Gandhi Prize for Peace, Disarmament and Development for 2014 was given to which one of the following?","A. Bhabha Atomic Research Centre
B. Indian Institute of Science
C. Indian Space Research Organization
D. Tata Institute of Fundamental Research",C,Current Affairs,Current Affairs -> National & International Awards & Indira Gandhi Peace Prize 2014 (ISRO),2015
"With reference to the Cabinet Mission, which of the following statements is/are correct?

 1. It recommended a federal government.

 2. It enlarged the powers of the Indian courts.

 3. It provided for more Indians in the ICS.

 Select the correct answer using the code given below:","A. 1 only
B. 2 and 3
C. 1 and 3
D. None",A,History,History -> British Constitutional Proposals & Cabinet Mission Plan 1946,2015
"Which one of the following National Parks has a climate that varies from tropical to subtropical, temperate and arctic?","A. Khangchendzonga National Park
B. Nandadevi National Park
C. Neora Valley National Park
D. Namdapha National Park",D,Geography,Geography -> Biogeographical Diversity & Altitudinal Climatic Zones in Namdapha NP,2015
Amnesty International is,"A. an agency of the United Nations to help refugees of civil wars
B. a global Human Rights Movement
C. a non-governmental voluntary organization to help very poor people
D. an inter-governmental agency to cater to medical emergencies in war-ravaged regions",B,International Relations,International Relations -> Global Civil Society & Human Rights Advocacy (Amnesty International),2015
"With reference to the art and archaeological history of India, which one among the following was made earliest?","A. Lingaraja Temple at Bhubaneswar
B. Rock-cut Elephant at Dhauli
C. Rock-cut Monuments at Mahabalipuram
D. Varaha Image at Udayagiri",B,Art & Culture,Art & Culture -> Ancient Rock-Cut Architecture & Mauryan Dhauli Elephant,2015
"With reference to Indian history, which of the following is/are the essential element/elements of the feudal system?

 1. A very strong centralized political authority and a very weak provincial or local political authority

 2. Emergence of administrative structure based on control and possession of land

 3. Creation of lord-vassal relationship between the feudal lord and his overlord

 Select the correct answer using the code given below:","A. 1 and 2 only
B. 2 and 3 only
C. 3 only
D. 1, 2 and 3",B,History,History -> Ancient & Medieval Social Formations & Elements of Indian Feudalism,2015
'BioCarbon Fund Initiative for Sustainable Forest Landscapes' is managed by the,"A. Asian Development Bank
B. International Monetary Fund
C. United Nations Environment Programme
D. World Bank",D,Environment & Ecology,Environment & Ecology -> Sustainable Forestry Funds & BioCarbon Fund (World Bank),2015
"India is a member of which among the following?

 1. Asia-Pacific Economic Cooperation

 2. Association of South-East Asian Nations

 3. East Asia Summit.

 Select the correct answer using the code given below:","A. 1 and 2 only
B. 3 only
C. 1, 2 and 3
D. India is a member of none of them",B,International Relations,International Relations -> Regional Economic & Strategic Summits & India's Membership (East Asia Summit),2015
"In India, the steel production industry requires the import of","A. saltpetre
B. rock phosphate
C. coking coal
D. All of the above",C,Economy,Economy -> Industrial Raw Materials & Coking Coal Imports for Steel Industry,2015
The provisions in Fifth Schedule and Sixth Schedule in the Constitution of India are made in order to,"A. protect the interests of Scheduled Tribes
B. determine the boundaries between States
C. determine the powers, authority and responsibilities of Panchayats
D. protect the interests of all the border States",A,Indian Polity,Indian Polity -> Constitutional Safeguards for Scheduled Tribes & 5th and 6th Schedules,2015
"With reference to the Union Government, consider the following statements:

 1. The Department of Revenue is responsible for the preparation of Union Budget that is presented to the Parliament.

 2. No amount can be withdrawn from the Consolidated Fund of India without the authorization from the Parliament of India.

 3. All the disbursements made from Public Account also need the authorization from the Parliament of India.

 Which of the statements given above is/are correct?","A. 1 and 2 only
B. 2 and 3 only
C. 2 only
D. 1, 2 and 3",C,Indian Polity,Indian Polity -> Parliamentary Financial Control & Consolidated Fund vs Public Account,2015
Who/Which of the following is the custodian of the Constitution of India?,"A. The President of India
B. The Prime Minister of India
C. The Lok Sabha Secretariat
D. The Supreme Court of India",D,Indian Polity,Indian Polity -> Constitutional Law & Supreme Court as Custodian of Constitution,2015
"Consider the following statements:

 1. The Accelerated Irrigation Benefits Programme was launched during 1996-97 to provide loan assistance to poor farmers.

 2. The Command Area Development Programme was launched in 1974-75 for the development of water-use efficiency.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,Geography,Geography -> Irrigation Schemes & Accelerated Irrigation Benefits Programme (AIBP),2015
The Genetic Engineering Appraisal Committee is constituted under the,"A. Food Safety and Standards Act, 2006
B. Geographical Indications of Goods (Registration and Protection) Act, 1999
C. Environment (Protection) Act, 1986
D. Wildlife (Protection) Act, 1972",C,Environment & Ecology,Environment & Ecology -> Biotechnology Regulation & Genetic Engineering Appraisal Committee (GEAC),2015
"In the Mekong-Ganga Cooperation an initiative of six countries, which of the following is/are not a participant/ participants?

 1. Bangladesh

 2. Cambodia

 3. China

 4. Myanmar

 5. Thailand

 Select the correct answer using the code given below:","A. 1 only
B. 2, 3 and 4
C. 1 and 3
D. 1, 2 and 5",C,International Relations,International Relations -> Sub-Regional Cooperation & Mekong-Ganga Cooperation (MGC) Members,2015
"'Basel III Accord' or simply 'Basel III', often seen in the news, seeks to","A. develop national strategies for the conservation and sustainable use of biological diversity
B. improve banking sector's ability to deal with financial and economic stress and improve risk management
C. reduce the greenhouse gas emissions but places a heavier burden on developed countries
D. transfer technology from developed countries to poor countries to enable them to replace the use of chlorofluorocarbons in refrigeration with harmless chemicals",B,Economy,Economy -> Banking Regulations & Basel III Capital Adequacy Framework,2015
"Consider the following statements:

 1. The winds which blow between 30° N and 60° S latitudes through-out the year are known as westerlies.

 2. The moist air masses that cause winter rains in North-Western region of India are part of westerlies.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,Geography,Geography -> Global Planetary Wind Systems & Mid-Latitude Westerlies / Western Disturbances,2015
"With reference to 'Indian Ocean Rim Association for Regional Cooperation (IOR-ARC)', consider the following statements :

 1. It was established very recently in response to incidents of piracy and accidents of oil spills.

 2. It is an alliance meant for maritime security only.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",D,International Relations,International Relations -> Indian Ocean Geopolitics & Indian Ocean Rim Association (IORA),2015
Which one of the following movements has contributed to a split in the Indian National Congress resulting in the emergence of 'moderates' and 'extremists'?,"A. Swadeshi Movement
B. Quit India Movement
C. Non-Cooperation Movement
D. Civil Disobedience Movement",A,History,History -> Freedom Struggle & Surat Split 1907 (Moderates vs Extremists / Swadeshi),2015
"In a particular region in India, the local people train the roots of living trees into robust bridges across the streams. As the time passes, these bridges become stronger. These unique 'living root bridges' are found in","A. Meghalaya
B. Himachal Pradesh
C. Jharkhand
D. Tamil Nadu",A,Geography,Geography -> Indigenous Bio-Engineering & Living Root Bridges of Meghalaya,2015
"Tides occur in the oceans and seas due to which among the following?

 1. Gravitational force of the Sun

 2. Gravitational force of the Moon

 3. Centrifugal force of the Earth

 Select the correct answer using the code given below:","A. 1 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",D,Geography,Geography -> Oceanography & Ocean Tides Gravitational/Centrifugal Drivers,2015
"In which of the following activities are Indian Remote Sensing (IRS) satellites used?

 1. Assessment of crop productivity

 2. Locating groundwater resources

 3. Mineral exploration

 4. Telecommunications

 5. Traffic studies

 Select the correct answer using the code given below:","A. 1, 2 and 3 only
B. 4 and 5 only
C. 1 and 2 only
D. 1, 2, 3, 4 and 5",A,Science & Technology,Science & Technology -> Space Applications & Indian Remote Sensing (IRS) Satellites Uses,2015
"Consider the following States:

 1. Arunachal Pradesh

 2. Himachal Pradesh

 3. Mizoram

 In which of the above States do 'Tropical Wet Evergreen Forests' occur?","A. 1 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",C,Geography,Geography -> Natural Vegetation of India & Tropical Wet Evergreen Forest Distribution,2015
"The term 'IndARC', sometimes seen in the news, is the name of","A. an indigenously developed radar system inducted into Indian Defence
B. India's satellite to provide services to the countries of Indian Ocean Rim
C. a scientific establishment set up by India in Antarctic region
D. India's underwater observatory to scientifically study the Arctic region",D,Science & Technology,Science & Technology -> Polar Research Infrastructure & India's Arctic Underwater Observatory (IndARC),2015
"With reference to 'Forest Carbon Partnership Facility', which of the following statements is/are correct?

 1. It is a global partnership of governments, businesses, civil society and indigenous peoples.

 2. It provides financial aid to universities, individual scientists and institutions involved in scientific forestry research to develop eco-friendly and climate adaptation technologies for sustainable forest management.

 3. It assists the countries in their 'REDD+ (Reducing Emissions from Deforestation and Forest Degradation+)' efforts by providing them with financial and technical assistance.

 Select the correct answer using the code given below:","A. 1 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",C,Environment & Ecology,Environment & Ecology -> Global Climate Architecture & Forest Carbon Partnership Facility (FCPF / REDD+),2015
Which one of the following was given classical language status recently?,"A. Odia
B. Konkani
C. Bhojpuri
D. Assamese",A,Art & Culture,Art & Culture -> Linguistic Heritage & Classical Language Status Criteria (Odia),2015
"With reference to an organization known as 'BirdLife International', which of the following statements is/are correct?

 1. It is a Global Partnership of Conservation Organizations.

 2. The concept of 'biodiversity hotspots' originated from this organization.

 3. It identifies the sites known/referred to as 'Important Bird and Biodiversity Areas'.

 Select the correct answer using the code given below:","A. 1 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",C,Environment & Ecology,Environment & Ecology -> Global Avian Conservation & BirdLife International (IBAs),2015
Which one of the following countries of South-West Asia does not open out to the Mediterranean Sea?,"A. Syria
B. Jordan
C. Lebanon
D. Israel",B,Geography,Geography -> Middle Eastern Physical Geography & Mediterranean Coastal Boundaries,2015
"In India, in which one of the following types of forests is teak a dominant tree species?","A. Tropical moist deciduous forest
B. Tropical rain forest
C. Tropical thorn scrub forest
D. Temperate forest with grasslands",A,Geography,Geography -> Forest Types in India & Tropical Moist Deciduous Teak Forests,2015
"'Beijing Declaration and Platform for Action', often seen in the news, is","A. a strategy to tackle, the regional terrorism, an outcome of a meeting of the Shanghai Cooperation Organization
B. a plan of action for sustainable economic growth in the Asia-Pacific Region, an outcome of the deliberations of the Asia-Pacific Economic Forum
C. an agenda for women's empowerment, an outcome of a World Conference convened by the United Nations
D. a strategy to combat wildlife trafficking, a declaration of the East Asia Summit",C,International Relations,International Relations -> Gender Equality Conventions & UN Beijing Declaration and Platform for Action,2015
"""Each day is more or less the same, the morning is clear and bright with a sea breeze; as the Sun climbs high in the sky, heat mounts up, dark clouds form, then rain comes with thunder and lightning. But rain is soon over.""

 Which of the following regions is described in the above passage?","A. Savannah
B. Equatorial
C. Monsoon
D. Mediterranean",B,Geography,Geography -> World Climatic Types & Diurnal Weather Patterns of Equatorial Climate,2015
"With reference to Indian economy, consider the following statements:

 1. The rate of growth of Real Gross Domestic Product has steadily increased in the last decade.

 2. The Gross Domestic Product at market prices (in rupees) has steadily increased in the last decade.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,Economy,Economy -> Macroeconomic Growth Trends & Real GDP vs Nominal GDP at Market Prices,2015
"Consider the following statements:

 1. The Legislative Council of a State in India can be larger in size than half of the Legislative Assembly of that particular State.

 2. The Governor of a State nominates the Chairman of Legislative Council of that particular State.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",D,Indian Polity,Indian Polity -> State Legislature & Constitutional Provisions for Legislative Councils,2015
"""To uphold and protect the Sovereignty, Unity and Integrity of India"" is a provision made in the","A. Preamble of the Constitution
B. Directive Principles of State Policy
C. Fundamental Rights
D. Fundamental Duties",D,Indian Polity,Indian Polity -> Fundamental Duties & Article 51A Sovereign Unity Obligations,2015
Which one of the following is the best description of the term 'ecosystem'?,"A. A community of organisms interacting with one another
B. That part of the Earth which is inhabited by living organisms
C. A community of organisms together with the environment in which they live
D. The flora and fauna of a geographical area",C,Environment & Ecology,Environment & Ecology -> Ecosystem Ecology & Structural Definition of an Ecosystem,2015
"The fundamental object of Panchayati Raj system is to ensure which among the following?

 1. People's participation in development

 2. Political accountability

 3. Democratic decentralization

 4. Financial mobilization

 Select the correct answer using the code given below:","A. 1, 2 and 3 only
B. 2 and 4 only
C. 1 and 3 only
D. 1, 2, 3 and 4",C,Indian Polity,Indian Polity -> Democratic Decentralization & Core Objectives of Panchayati Raj,2015
"With reference to Indian economy, consider the following:

 1. Bank rate

 2. Open market operations

 3. Public debt

 4. Public revenue

 Which of the above is/are component/components of Monetary Policy?","A. 1 only
B. 2, 3 and 4
C. 1 and 2
D. 1, 3 and 4",C,Economy,Economy -> Monetary Policy Instruments & Reserve Bank Operations vs Fiscal Policy,2015
"With reference to inflation in India, which of the following statements is correct?","A. Controlling the inflation in India is the responsibility of the Government of India only
B. The Reserve Bank of India has no role in controlling the inflation
C. Decreased money circulation helps in controlling the inflation
D. Increased money circulation helps in controlling the inflation",A,Economy,Economy -> Inflation Management & RBI Monetary Policy Framework,2015
"Consider the following countries:

 1. China

 2. France

 3. India

 4. Israel

 5. Pakistan

 Which among the above are Nuclear Weapons States as recognized by the Treaty on the Non-Proliferation of Nuclear Weapons, commonly known as Nuclear Non-Proliferation Treaty (NPT)?","A. 1 and 2 only
B. 1, 3, 4 and 5 only
C. 2, 4 and 5 only
D. 1, 2, 3, 4 and 5",B,International Relations,International Relations -> Global Non-Proliferation Regimes & Nuclear Suppliers Group (NSG),2015
The ideal of 'Welfare State' in the Indian Constitution is enshrined in its,"A. Preamble
B. Directive Principles of State Policy
C. Fundamental Rights
D. Seventh Schedule",B,Indian Polity,Indian Polity -> Constitutional Ideals & Concept of Welfare State in DPSPs,2015
The Substitution of steel for wooden ploughs in agricultural production is an example of,"A. labour-augmenting technological progress
B. capital-augmenting technological progress
C. capital-reducing technological progress
D. None of the above",B,Economy,Economy -> Production Economics & Capital-Augmenting Technological Progress,2015
There is a Parliamentary System of Government in India because the,"A. Lok Sabha is elected directly by the people
B. Parliament can amend the Constitution
C. Rajya Sabha cannot be dissolved
D. Council of Ministers is responsible to the Lok Sabha",D,Indian Polity,Indian Polity -> Executive Accountability & Parliamentary System of Government,2015
HINI virus is sometimes mentioned in the news with reference to which one of the following diseases?,"A. AIDS
B. Bird flu
C. Dengue
D. Swine flu",A,Science & Technology,Science & Technology -> Virology & Influenza A Virus Subtype H1N1 (Swine Flu),2015
"With reference to bio-toilets used by the Indian Railways, consider the following statements:

 1. The decomposition of human waste in the bio-toilets is initiated by a fungal inoculums.

 2. Ammonia and water vapour are the only end products in this decomposition which are released into the atmosphere.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,Science & Technology,Science & Technology -> Sanitation Technology & Anaerobic Microbial Bio-Toilets in Railways,2015
The problem of international liquidity is related to the non-availability of,"A. goods and services
B. gold and silver
C. dollars and other hard currencies
D. exportable surplus",C,Economy,Economy -> International Monetary Economics & Global Liquidity / Hard Currencies,2015
"With reference to 'fuel cells' in which hydrogen-rich fuel and oxygen are used to generate electricity, consider the following statements:

 1. If pure hydrogen is used as a fuel, the fuel cell emits heat and water as by products.

 2. Fuel cells can be used for powering buildings and not for small devices like laptop computers.

 3. Fuel cells produce electricity in the form of Alternating Current (AC).

 Which of the statements given above is/are correct?","A. 1 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",D,Science & Technology,Science & Technology -> Clean Energy Technology & Hydrogen Fuel Cell Systems,2015
Kalamkari painting refers to,"A. a hand-painted cotton textile in South India
B. a handmade drawing on bamboo handicrafts in North-East India
C. a block-painted woollen cloth in Western Himalayan region of India
D. a hand-painted decorative silk cloth in North-Western India",A,Art & Culture,Art & Culture -> Traditional Indian Textile Arts & Kalamkari Painting of Andhra Pradesh,2015
Which one of the following best describes the main objective of 'Seed Village Concept'?,"A. Encouraging the farmers to use their own farm seeds and discouraging them to buy the seeds from others
B. Involving the farmers for training in quality seed production and thereby to make available quality seeds to others at appropriate time and affordable cost
C. Earmarking some villages exclusively for the production of certified seeds
D. Identifying the entrepreneurs in villages and providing them technology and finance to set up seed companies",B,Geography,Geography -> Agricultural Extension Schemes & Seed Village Concept,2015
"There has been a persistent deficit budget year after year. Which of the following actions can be taken by the government to reduce the deficit?

 1. Reducing revenue expenditure

 2. Introducing new welfare schemes

 3. Rationalizing subsidies

 4. Expanding industries

 Select the correct answer using the code given below:","A. 1 and 3 only
B. 2 and 3 only
C. 1 only
D. 1, 2, 3 and 4",C,Economy,Economy -> Fiscal Deficit Consolidation & Revenue Expenditure Rationalization,2015
"Which of the following has/have been accorded 'Geographical Indication' status?

 1. Banaras Brocades and Sarees

 2. Rajasthani Daal-Bati-Churma

 3. Tirupathi Laddu

 Select the correct answer using the code given below:","A. 1 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",C,Economy,Economy -> Intellectual Property & Geographical Indications (GI) of Goods in India,2015
"With reference to the Indian Renewable Energy Development Agency Limited (IREDA), which of the following statements is/are correct?

1. It is a Public Limited Government Company.
2. It is a Non-Banking Financial Company.

Select the correct answer using the code given below:","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",C,Economy,Economy -> Renewable Energy Financing & Indian Renewable Energy Development Agency (IREDA),2015
"What are the significances of a practical approach to sugarcane production known as 'Sustainable Sugarcane Initiative'?

 1. Seed cost is very low in this compared to the conventional method of cultivation.

 2. Drip irrigation can be practiced very effectively in this.

 3. There is no application of chemical/ inorganic fertilizers at all in this.

 4. The scope for intercropping is more in this compared to the conventional method of cultivation.

 Select the correct answer using the code given below.","A. 1 and 3 only
B. 1, 2 and 4 only
C. 2, 3 and 4 only
D. 1, 2, 3 and 4",B,Geography,Geography -> Agronomy & Sustainable Sugarcane Initiative (SSI) Techniques,2014
"If a wetland of international importance is brought under the 'Montreux Record', what does it imply?","A. Changes in ecological character have occurred, are occurring or are likely to occur in the wetland as a result of human interference.
B. The country in which the wetland is located should enact a law to prohibit any human activity within five kilo metres from the edge of the wetland
C. The survival of the wetland depends on the cultural practices and traditions of certain communities living in its vicinity and therefore the cultural diversity therein should not be destroyed
D. It is given the status of 'World Heritage Site'",A,Environment & Ecology,Environment & Ecology -> Wetland Conservation & Ramsar Montreux Record,2014
Which one of the following pairs of islands is separated from each other by the 'Ten Degree Channel'?,"A. Andaman and Nicobar
B. Nicobar and Sumatra
C. Maldives and Lakshadweep
D. Sumatra and Java",A,Geography,Geography -> Indian Physiography & Maritime Channels (Ten Degree Channel),2014
"Consider the following pairs :

 Programme/ Project Ministry

 1. Drought-Prone Area Programme : Ministry of Agriculture

 2. Desert Development Programme : Ministry of Environment and Forests

 3. National Watershed Development Project for Rainfed Areas : Ministry of Rural Development

 Which of the above pairs","A. 1 and 2 only
B. 3 only
C. 1, 2 and 3
D. None",D,Geography,"Geography -> Rural Development Schemes & Area Development Programmes (DPAP, DDP, NWDPRA)",2014
"With reference to Bombay Natural History Society (BNHS), consider the following statements :

 1. It is an autonomous organization under the Ministry of Environment and Forests.

 2. It strives to conserve nature through action-based research, education and public awareness.

 3. It organizes and conducts nature trails and camps for the general public.

 Which of the statements given above is/are correct?","A. 1 and 3 only
B. 2 only
C. 2 and 3 only
D. 1, 2 and 3",C,Environment & Ecology,Environment & Ecology -> Environmental Conservation Bodies & Bombay Natural History Society (BNHS),2014
"With reference to 'Global Environment Facility', which of the following statements is/are correct?

 (a) It serves as financial mechanism for 'Convention on Biological Diversity' and 'United Nations Framework Convention on Climate Change'

 (b) It undertakes scientific research on environmental issues at global level","A. It is an agency under OECD to facilitate the transfer of technology and funds to underdeveloped countries with specific aim to protect their environment.
B. Both
C. and
D. ",A,Environment & Ecology,Environment & Ecology -> Global Climate Finance & Global Environment Facility (GEF),2014
"With reference to technologies for solar power production, consider the following statements:

 1.'Photovoltaics' is a technology that generates electricity by direct conversion of light into electricity, while 'Solar Thermal' is a technology that utilizes the Sun's rays to generate heat which is further used in electricity generation process.

 2. Photovoltaics generates Alternating Current (AC), while Solar Thermal generates Direct Current (DC).

 3. India has manufacturing base for Solar Thermal technology, but not for Photovoltaics.

 Which of the statements given above is / are correct?","A. 1 only
B. 2 and 3 only
C. 1, 2 and 3
D. None",A,Science & Technology,Science & Technology -> Renewable Energy & Photovoltaics vs Solar Thermal Power,2014
"Consider the following languages :

 1. Gujarati

 2. Kannada

 3. Telugu

 Which of the above has/have been declared as 'Classical Language / Languages' by the Government?","A. 1 and 2 only
B. 3 only
C. 2 and 3 only
D. 1, 2 and 3",C,Art & Culture,"Art & Culture -> Linguistic Heritage & Classical Languages of India (Kannada, Telugu)",2014
"Consider the following pairs

 1. Dampa Tiger Reserve : Mizoram

 2. Gumti Wildlife Sanctuary : Sikkim

 3. Saramati Peak : Nagaland

 Which of the above pairs is /are correctly matched?","A. 1 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",C,Geography,"Geography -> Protected Areas & Mountain Peaks of Northeast India (Dampa, Saramati)",2014
"With reference to a conservation organization called Wetlands International', which of the following statements is/are correct?

 1. It is an intergovernmental organization formed by the countries which are signatories to Ramsar Convention.

 2. It works at the field level to develop and mobilize knowledge, and use the practical experience to advocate for better policies.

 Select the correct answer using the code given below.","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,Environment & Ecology,Environment & Ecology -> Global Conservation NGOs & Wetlands International,2014
"With reference to a grouping of countries known as BRICS, consider the following statements:

 1. The First Summit of BRICS was held in Rio de Janeiro in 2009.

 2. South Africa was the last to join the BRICS grouping.

 Which of the statements given above is / are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,International Relations,International Relations -> Emerging Multilateral Blocs & BRICS Summits / Membership,2014
"Consider the following diseases

 1. Diphtheria

 2. Chickenpox

 3. Smallpox

 Which of the above diseases has/have been eradicated in India?","A. 1 and 2 only
B. 3 only
C. 1, 2 and 3
D. None",B,Science & Technology,Science & Technology -> Epidemiology & Eradication of Infectious Diseases in India (Smallpox),2014
"Which of the following phenomena might have influenced the evolution of organisms?

 1. Continental drift

 2. Glacial cycles

 Select the correct answer using the code given below.","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",C,Science & Technology,"Science & Technology -> Evolutionary Biology & Drivers of Organic Evolution (Continental Drift, Glaciation)",2014
"Other than poaching, what are the possible reasons for the decline in the population of Ganges River Dolphins?

 1. Construction of dams and barrages on rivers

 2. Increase in the population of crocodiles in rivers

 3. Getting trapped in fishing nets accidentally

 4. Use of synthetic fertilizers and other agricultural chemicals in crop-fields in the vicinity of rivers

 Select the correct answer using the code given below.","A. 1 and 2 only
B. 2 and 3 only
C. 1, 3 and 4 only
D. 1, 2, 3 and 4",C,Environment & Ecology,Environment & Ecology -> Aquatic Wildlife Conservation & Ganges River Dolphin Population Threats,2014
The Radcliffe Committee was appointed to,"A. solve the problem of minorities in India
B. give effect to the Independence Bill
C. delimit the boundaries between India and Pakistan
D. enquire into the riots in East Bengal",C,History,History -> Modern Indian History & Radcliffe Boundary Commission 1947,2014
"Brominated flame retardants are used in many household products like mattresses and upholstery. Why is there some concern about their use?

 1. They are highly resistant to degradation in the environment.

 2. They are able to accumulate in humans and animals.

 Select the correct answer using the code given below.","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",C,Environment & Ecology,Environment & Ecology -> Environmental Toxicology & Brominated Flame Retardants (BFRs),2014
